class,order,family,genus,species,adult_body_mass_g,maximum_longevity_y,litter_or_clutch_size_n,female_maturity_d,birth_or_hatching_weight_g
Aves,Accipitriformes,Accipitridae,Accipiter,albogularis,251.5,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,badius,140.0,,3.25,363.468,
Aves,Accipitriformes,Accipitridae,Accipiter,bicolor,345.0,,2.7,,
Aves,Accipitriformes,Accipitridae,Accipiter,brachyurus,142.0,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,brevipes,203.5,,4.0,363.468,
Aves,Accipitriformes,Accipitridae,Accipiter,castanilius,159.38,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,chilensis,345.0,,2.7,,
Aves,Accipitriformes,Accipitridae,Accipiter,chionogaster,138.5,19.9,4.25,547.875,
Aves,Accipitriformes,Accipitridae,Accipiter,cirrocephalus,180.0,,3.25,,
Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,452.0,20.333,4.35,730.0,28.0
Aves,Accipitriformes,Accipitridae,Accipiter,erythrauchen,156.0,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,erythronemius,138.5,19.9,4.25,547.875,
Aves,Accipitriformes,Accipitridae,Accipiter,erythropus,107.0,,2.0,,
Aves,Accipitriformes,Accipitridae,Accipiter,fasciatus,453.5,,3.0,,
Aves,Accipitriformes,Accipitridae,Accipiter,francesiae,135.25,,3.0,,
Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,988.75,22.0,3.5,636.835,37.0
Aves,Accipitriformes,Accipitridae,Accipiter,griseiceps,255.5,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,gularis,118.75,,3.2,,
Aves,Accipitriformes,Accipitridae,Accipiter,gundlachi,675.0,,3.75,,
Aves,Accipitriformes,Accipitridae,Accipiter,haplochrous,240.5,,3.0,,
Aves,Accipitriformes,Accipitridae,Accipiter,henstii,1050.0,,2.0,,
Aves,Accipitriformes,Accipitridae,Accipiter,hiogaster,342.75,,2.725,,
