Z,symbol,name,period,group,block,category,radius_pm,en_pauling
1,H,Hydrogen,1,1.0,s,Nonmetals,32.0,2.2
2,He,Helium,1,18.0,s,Noble gases,46.0,
3,Li,Lithium,2,1.0,s,Alkali metals,133.0,0.98
4,Be,Beryllium,2,2.0,s,Alkaline earth metals,102.0,1.57
5,B,Boron,2,13.0,p,Metalloids,85.0,2.04
6,C,Carbon,2,14.0,p,Nonmetals,75.0,2.55
7,N,Nitrogen,2,15.0,p,Nonmetals,71.0,3.04
8,O,Oxygen,2,16.0,p,Nonmetals,63.0,3.44
9,F,Fluorine,2,17.0,p,Halogens,64.0,3.98
10,Ne,Neon,2,18.0,p,Noble gases,67.0,
11,Na,Sodium,3,1.0,s,Alkali metals,155.0,0.93
12,Mg,Magnesium,3,2.0,s,Alkaline earth metals,139.0,1.31
13,Al,Aluminum,3,13.0,p,Post-transition metals,126.0,1.61
14,Si,Silicon,3,14.0,p,Metalloids,115.99999999999999,1.9
15,P,Phosphorus,3,15.0,p,Nonmetals,111.00000000000001,2.19
16,S,Sulfur,3,16.0,p,Nonmetals,103.0,2.58
17,Cl,Chlorine,3,17.0,p,Halogens,99.0,3.16
18,Ar,Argon,3,18.0,p,Noble gases,96.0,
19,K,Potassium,4,1.0,s,Alkali metals,196.0,0.82
20,Ca,Calcium,4,2.0,s,Alkaline earth metals,171.0,1.0
21,Sc,Scandium,4,3.0,d,Transition metals,148.0,1.36
22,Ti,Titanium,4,4.0,d,Transition metals,136.0,1.54
23,V,Vanadium,4,5.0,d,Transition metals,134.0,1.63
24,Cr,Chromium,4,6.0,d,Transition metals,122.0,1.66
25,Mn,Manganese,4,7.0,d,Transition metals,119.0,1.55
26,Fe,Iron,4,8.0,d,Transition metals,115.99999999999999,1.83
27,Co,Cobalt,4,9.0,d,Transition metals,111.00000000000001,1.88
28,Ni,Nickel,4,10.0,d,Transition metals,110.00000000000001,1.91
29,Cu,Copper,4,11.0,d,Transition metals,112.00000000000001,1.9
30,Zn,Zinc,4,12.0,d,Transition metals,118.0,1.65
31,Ga,Gallium,4,13.0,p,Post-transition metals,124.0,1.81
32,Ge,Germanium,4,14.0,p,Metalloids,121.0,2.01
33,As,Arsenic,4,15.0,p,Metalloids,121.0,2.18
34,Se,Selenium,4,16.0,p,Nonmetals,115.99999999999999,2.55
35,Br,Bromine,4,17.0,p,Halogens,113.99999999999999,2.96
36,Kr,Krypton,4,18.0,p,Noble gases,117.0,
37,Rb,Rubidium,5,1.0,s,Alkali metals,210.0,0.82
38,Sr,Strontium,5,2.0,s,Alkaline earth metals,185.0,0.95
39,Y,Yttrium,5,3.0,d,Transition metals,163.0,1.22
40,Zr,Zirconium,5,4.0,d,Transition metals,154.0,1.33
41,Nb,Niobium,5,5.0,d,Transition metals,147.0,1.6
42,Mo,Molybdenum,5,6.0,d,Transition metals,138.0,2.16
43,Tc,Technetium,5,7.0,d,Transition metals,128.0,2.1
44,Ru,Ruthenium,5,8.0,d,Transition metals,125.0,2.2
45,Rh,Rhodium,5,9.0,d,Transition metals,125.0,2.28
46,Pd,Palladium,5,10.0,d,Transition metals,120.0,2.2
47,Ag,Silver,5,11.0,d,Transition metals,128.0,1.93
48,Cd,Cadmium,5,12.0,d,Transition metals,136.0,1.69
49,In,Indium,5,13.0,p,Post-transition metals,142.0,1.78
50,Sn,Tin,5,14.0,p,Post-transition metals,140.0,1.96
51,Sb,Antimony,5,15.0,p,Metalloids,140.0,2.05
52,Te,Tellurium,5,16.0,p,Metalloids,136.0,2.1
53,I,Iodine,5,17.0,p,Halogens,133.0,2.66
54,Xe,Xenon,5,18.0,p,Noble gases,131.0,2.6
55,Cs,Cesium,6,1.0,s,Alkali metals,231.99999999999997,0.79
56,Ba,Barium,6,2.0,s,Alkaline earth metals,196.0,0.89
57,La,Lanthanum,6,,d,Lanthanides,180.0,1.1
58,Ce,Cerium,6,,f,Lanthanides,163.0,1.12
59,Pr,Praseodymium,6,,f,Lanthanides,176.0,1.13
60,Nd,Neodymium,6,,f,Lanthanides,174.0,1.14
61,Pm,Promethium,6,,f,Lanthanides,173.0,
62,Sm,Samarium,6,,f,Lanthanides,172.0,1.17
63,Eu,Europium,6,,f,Lanthanides,168.0,
64,Gd,Gadolinium,6,,f,Lanthanides,169.0,1.2
65,Tb,Terbium,6,,f,Lanthanides,168.0,
66,Dy,Dysprosium,6,,f,Lanthanides,167.0,1.22
67,Ho,Holmium,6,,f,Lanthanides,166.0,1.23
68,Er,Erbium,6,,f,Lanthanides,165.0,1.24
69,Tm,Thulium,6,,f,Lanthanides,164.0,1.25
70,Yb,Ytterbium,6,,f,Lanthanides,170.0,
71,Lu,Lutetium,6,,f,Lanthanides,162.0,1.0
72,Hf,Hafnium,6,4.0,d,Transition metals,152.0,1.3
