date,country,net_purchases_t
2021-01-01,China,15.83
2021-02-01,China,27.93
2021-03-01,China,26.81
2021-04-01,China,13.69
2021-05-01,China,2.92
2021-06-01,China,6.26
2021-07-01,China,20.06
2021-08-01,China,29.24
2021-09-01,China,23.77
2021-10-01,China,9.62
2021-11-01,China,2.26
2021-12-01,China,9.73
2022-01-01,China,23.87
2022-02-01,China,29.23
2022-03-01,China,19.95
2022-04-01,China,6.17
2022-05-01,China,2.96
2022-06-01,China,13.81
2022-07-01,China,26.88
2022-08-01,China,27.87
2022-09-01,China,15.71
2022-10-01,China,3.68
2022-11-01,China,4.93
2022-12-01,China,18.09
2023-01-01,China,28.78
2023-02-01,China,25.32
2023-03-01,China,11.49
2023-04-01,China,2.4
2023-05-01,China,7.99
2023-06-01,China,22.15
2023-07-01,China,29.4
2023-08-01,China,21.83
2023-09-01,China,7.7
2023-10-01,China,2.46
2023-11-01,China,11.83
2023-12-01,China,25.58
2024-01-01,China,28.67
2024-02-01,China,17.74
2024-03-01,China,4.72
2024-04-01,China,3.85
2024-05-01,China,16.07
2024-06-01,China,28.04
2024-07-01,China,26.66
2024-08-01,China,13.46
2024-09-01,China,2.85
2024-10-01,China,6.43
2024-11-01,China,20.29
2024-12-01,China,29.28
2025-01-01,China,23.58
2025-02-01,China,9.41
2025-03-01,China,2.27
2025-04-01,China,9.95
2025-05-01,China,24.06
2025-06-01,China,29.18
2025-07-01,China,19.72
2025-08-01,China,6.01
2025-09-01,China,3.03
2025-10-01,China,14.05
2025-11-01,China,27.01
2025-12-01,China,27.76
2026-01-01,China,15.47
2026-02-01,China,3.58
2026-03-01,China,5.08
2026-04-01,China,18.33
2026-05-01,China,28.85
2026-06-01,China,25.15
2026-07-01,China,11.26
2026-08-01,China,2.37
2021-01-01,Poland,13.52
2021-02-01,Poland,12.98
2021-03-01,Poland,6.63
2021-04-01,Poland,1.41
2021-05-01,Poland,3.03
2021-06-01,Poland,9.71
2021-07-01,Poland,14.16
2021-08-01,Poland,11.51
2021-09-01,Poland,4.66
2021-10-01,Poland,1.1
2021-11-01,Poland,4.71
2021-12-01,Poland,11.56
2022-01-01,Poland,14.15
2022-02-01,Poland,9.66
2022-03-01,Poland,2.99
2022-04-01,Poland,1.43
2022-05-01,Poland,6.69
2022-06-01,Poland,13.01
2022-07-01,Poland,13.5
2022-08-01,Poland,7.61
2022-09-01,Poland,1.78
2022-10-01,Poland,2.39
2022-11-01,Poland,8.76
2022-12-01,Poland,13.94
2023-01-01,Poland,12.26
2023-02-01,Poland,5.56
2023-03-01,Poland,1.16
2023-04-01,Poland,3.87
2023-05-01,Poland,10.72
2023-06-01,Poland,14.24
2023-07-01,Poland,10.57
2023-08-01,Poland,3.73
2023-09-01,Poland,1.19
2023-10-01,Poland,5.73
2023-11-01,Poland,12.38
2023-12-01,Poland,13.88
2024-01-01,Poland,8.59
2024-02-01,Poland,2.29
2024-03-01,Poland,1.86
2024-04-01,Poland,7.78
2024-05-01,Poland,13.58
2024-06-01,Poland,12.91
2024-07-01,Poland,6.52
2024-08-01,Poland,1.38
2024-09-01,Poland,3.11
2024-10-01,Poland,9.82
2024-11-01,Poland,14.18
2024-12-01,Poland,11.42
2025-01-01,Poland,4.56
2025-02-01,Poland,1.1
2025-03-01,Poland,4.82
2025-04-01,Poland,11.65
2025-05-01,Poland,14.13
2025-06-01,Poland,9.55
2025-07-01,Poland,2.91
2025-08-01,Poland,1.47
2025-09-01,Poland,6.8
2025-10-01,Poland,13.08
2025-11-01,Poland,13.44
2025-12-01,Poland,7.49
2026-01-01,Poland,1.73
2026-02-01,Poland,2.46
2026-03-01,Poland,8.88
2026-04-01,Poland,13.97
2026-05-01,Poland,12.18
