date,tonnes
2021-01-01,1558.0
2021-02-01,1558.4
2021-03-01,1551.0
2021-04-01,1538.7
2021-05-01,1531.2
2021-06-01,1531.6
2021-07-01,1532.1
2021-08-01,1524.6
2021-09-01,1512.3
2021-10-01,1504.8
2021-11-01,1505.3
2021-12-01,1505.7
2022-01-01,1524.8
2022-02-01,1539.0
2022-03-01,1558.0
2022-04-01,1585.0
2022-05-01,1564.1
2022-06-01,1535.3
2022-07-01,1501.6
2022-08-01,1472.8
2022-09-01,1451.9
2022-10-01,1431.0
2022-11-01,1402.2
2022-12-01,1368.5
2023-01-01,1355.9
2023-02-01,1351.2
2023-03-01,1346.5
2023-04-01,1333.9
2023-05-01,1316.5
2023-06-01,1303.9
2023-07-01,1299.2
2023-08-01,1294.5
2023-09-01,1281.9
2023-10-01,1264.5
2023-11-01,1249.8
2023-12-01,1243.0
2024-01-01,1236.2
2024-02-01,1221.5
2024-03-01,1223.3
2024-04-01,1229.9
2024-05-01,1244.4
2024-06-01,1258.9
2024-07-01,1265.5
2024-08-01,1276.5
2024-09-01,1292.3
2024-10-01,1316.0
2024-11-01,1339.7
2024-12-01,1355.5
2025-01-01,1369.5
2025-02-01,1388.3
2025-03-01,1415.0
2025-04-01,1441.7
2025-05-01,1460.5
2025-06-01,1474.5
2025-07-01,1480.0
2025-08-01,1493.3
2025-09-01,1506.7
2025-10-01,1512.2
2025-11-01,1512.8
2025-12-01,1518.3
2026-01-01,1534.5
2026-02-01,1550.7
2026-03-01,1559.0
2026-04-01,1562.5
2026-05-01,1570.8
2026-06-01,1587.0
2026-07-01,1603.2
2026-08-01,1611.5
