date,price_usd_oz,real_yield_pct,yield_implied_usd_oz
2021-01-01,1950.0,-1.3,1950.0
2021-02-01,1936.0,-1.14,1913.0
2021-03-01,1915.0,-1.0,1882.0
2021-04-01,1884.0,-0.9,1860.0
2021-05-01,1844.0,-0.82,1842.0
2021-06-01,1801.0,-0.72,1819.0
2021-07-01,1761.0,-0.59,1789.0
2021-08-01,1768.0,-0.65,1803.0
2021-09-01,1786.0,-0.71,1816.0
2021-10-01,1810.0,-0.8,1837.0
2021-11-01,1834.0,-0.93,1866.0
2021-12-01,1852.0,-1.07,1898.0
2022-01-01,1884.0,-0.87,1853.0
2022-02-01,1908.0,-0.64,1800.0
2022-03-01,1860.0,-0.22,1706.0
2022-04-01,1816.0,0.19,1612.0
2022-05-01,1781.0,0.57,1525.0
2022-06-01,1756.0,0.92,1446.0
2022-07-01,1738.0,1.04,1419.0
2022-08-01,1719.0,1.18,1388.0
2022-09-01,1694.0,1.35,1349.0
2022-10-01,1659.0,1.55,1303.0
2022-11-01,1718.0,1.51,1312.0
2022-12-01,1772.0,1.44,1328.0
2023-01-01,1831.0,1.33,1353.0
2023-02-01,1898.0,1.21,1381.0
2023-03-01,1976.0,1.1,1405.0
2023-04-01,1978.0,1.3,1361.0
2023-05-01,1980.0,1.52,1310.0
2023-06-01,1976.0,1.75,1259.0
2023-07-01,1961.0,1.94,1214.0
2023-08-01,1938.0,2.1,1178.0
2023-09-01,1955.0,2.24,1146.0
2023-10-01,1976.0,2.4,1110.0
2023-11-01,2006.0,2.35,1122.0
2023-12-01,2046.0,2.33,1127.0
2024-01-01,2130.0,2.3,1133.0
2024-02-01,2214.0,2.25,1145.0
2024-03-01,2292.0,2.16,1165.0
2024-04-01,2359.0,2.05,1189.0
2024-05-01,2404.0,1.96,1209.0
2024-06-01,2446.0,1.91,1221.0
2024-07-01,2491.0,1.98,1207.0
2024-08-01,2545.0,2.04,1192.0
2024-09-01,2609.0,2.07,1184.0
2024-10-01,2680.0,2.07,1185.0
2024-11-01,2744.0,2.05,1189.0
2024-12-01,2802.0,2.05,1189.0
2025-01-01,2849.0,2.09,1181.0
2025-02-01,2888.0,2.15,1167.0
2025-03-01,2982.0,2.21,1152.0
2025-04-01,3081.0,2.25,1145.0
2025-05-01,3188.0,2.25,1145.0
2025-06-01,3306.0,2.23,1149.0
2025-07-01,3360.0,2.13,1170.0
2025-08-01,3414.0,2.08,1183.0
2025-09-01,3462.0,2.05,1190.0
2025-10-01,3499.0,2.02,1196.0
2025-11-01,3558.0,1.97,1209.0
2025-12-01,3612.0,1.87,1230.0
2026-01-01,3681.0,1.81,1244.0
2026-02-01,3758.0,1.76,1255.0
2026-03-01,3846.0,1.75,1257.0
2026-04-01,3940.0,1.78,1252.0
2026-05-01,4007.0,1.8,1247.0
2026-06-01,4068.0,1.79,1250.0
2026-07-01,4118.0,1.74,1260.0
2026-08-01,4160.0,1.68,1274.0
