date,destination,tonnes
2021-01-01,China + HK,58.0
2021-02-01,China + HK,66.8
2021-03-01,China + HK,66.4
2021-04-01,China + HK,60.3
2021-05-01,China + HK,59.9
2021-06-01,China + HK,68.7
2021-07-01,China + HK,77.5
2021-08-01,China + HK,77.1
2021-09-01,China + HK,71.0
2021-10-01,China + HK,70.6
2021-11-01,China + HK,79.4
2021-12-01,China + HK,88.2
2022-01-01,China + HK,87.8
2022-02-01,China + HK,81.7
2022-03-01,China + HK,81.3
2022-04-01,China + HK,88.8
2022-05-01,China + HK,96.3
2022-06-01,China + HK,94.5
2022-07-01,China + HK,87.1
2022-08-01,China + HK,85.3
2022-09-01,China + HK,92.8
2022-10-01,China + HK,100.3
2022-11-01,China + HK,98.5
2022-12-01,China + HK,91.1
2023-01-01,China + HK,89.3
2023-02-01,China + HK,92.0
2023-03-01,China + HK,94.7
2023-04-01,China + HK,88.1
2023-05-01,China + HK,75.9
2023-06-01,China + HK,69.3
2023-07-01,China + HK,72.0
2023-08-01,China + HK,77.2
2023-09-01,China + HK,73.1
2023-10-01,China + HK,63.4
2023-11-01,China + HK,59.3
2023-12-01,China + HK,64.5
2024-01-01,China + HK,69.7
2024-02-01,China + HK,65.6
2024-03-01,China + HK,55.9
2024-04-01,China + HK,51.7
2024-05-01,China + HK,56.8
2024-06-01,China + HK,61.9
2024-07-01,China + HK,57.7
2024-08-01,China + HK,47.9
2024-09-01,China + HK,43.7
2024-10-01,China + HK,48.8
2024-11-01,China + HK,53.9
2024-12-01,China + HK,49.7
2025-01-01,China + HK,39.9
2025-02-01,China + HK,38.1
2025-03-01,China + HK,45.6
2025-04-01,China + HK,53.1
2025-05-01,China + HK,51.3
2025-06-01,China + HK,43.9
2025-07-01,China + HK,42.1
2025-08-01,China + HK,49.6
2025-09-01,China + HK,57.1
2025-10-01,China + HK,55.3
2025-11-01,China + HK,47.9
2025-12-01,China + HK,46.0
2026-01-01,China + HK,53.3
2026-02-01,China + HK,60.7
2026-03-01,China + HK,58.8
2026-04-01,China + HK,51.2
2026-05-01,China + HK,49.3
2026-06-01,China + HK,56.7
2026-07-01,China + HK,64.0
2026-08-01,China + HK,62.1
2021-01-01,India,26.0
2021-02-01,India,31.4
2021-03-01,India,31.6
2021-04-01,India,26.6
2021-05-01,India,21.6
2021-06-01,India,21.8
2021-07-01,India,27.2
2021-08-01,India,32.6
2021-09-01,India,32.8
2021-10-01,India,27.8
2021-11-01,India,22.8
2021-12-01,India,23.0
2022-01-01,India,28.4
2022-02-01,India,33.8
2022-03-01,India,34.0
2022-04-01,India,29.0
2022-05-01,India,24.0
2022-06-01,India,24.2
2022-07-01,India,29.6
2022-08-01,India,35.0
2022-09-01,India,35.2
2022-10-01,India,30.8
2022-11-01,India,26.3
2022-12-01,India,27.1
2023-01-01,India,33.1
2023-02-01,India,39.0
2023-03-01,India,39.8
2023-04-01,India,35.4
2023-05-01,India,31.0
2023-06-01,India,31.7
2023-07-01,India,37.7
2023-08-01,India,43.7
2023-09-01,India,44.4
2023-10-01,India,40.0
2023-11-01,India,34.0
2023-12-01,India,33.1
2024-01-01,India,37.5
2024-02-01,India,41.9
2024-03-01,India,41.0
2024-04-01,India,35.0
2024-05-01,India,29.0
2024-06-01,India,28.1
2024-07-01,India,32.5
2024-08-01,India,36.9
2024-09-01,India,36.0
2024-10-01,India,30.0
2024-11-01,India,25.1
2024-12-01,India,25.5
2025-01-01,India,31.0
2025-02-01,India,36.5
2025-03-01,India,36.9
2025-04-01,India,32.0
2025-05-01,India,27.1
2025-06-01,India,27.5
2025-07-01,India,33.0
2025-08-01,India,38.5
2025-09-01,India,38.9
2025-10-01,India,34.0
2025-11-01,India,28.4
2025-12-01,India,28.0
2026-01-01,India,32.8
2026-02-01,India,37.6
2026-03-01,India,37.2
2026-04-01,India,31.6
2026-05-01,India,26.0
2026-06-01,India,25.6
2026-07-01,India,30.4
2026-08-01,India,35.2
2021-01-01,Turkey,8.0
2021-02-01,Turkey,11.5
2021-03-01,Turkey,11.0
2021-04-01,Turkey,8.0
2021-05-01,Turkey,7.5
2021-06-01,Turkey,11.0
2021-07-01,Turkey,14.5
2021-08-01,Turkey,14.0
2021-09-01,Turkey,11.0
2021-10-01,Turkey,10.5
2021-11-01,Turkey,14.0
2021-12-01,Turkey,17.5
2022-01-01,Turkey,17.0
2022-02-01,Turkey,14.0
2022-03-01,Turkey,13.5
2022-04-01,Turkey,17.0
2022-05-01,Turkey,20.5
2022-06-01,Turkey,20.0
2022-07-01,Turkey,17.0
2022-08-01,Turkey,16.5
2022-09-01,Turkey,20.0
2022-10-01,Turkey,24.3
2022-11-01,Turkey,24.6
2022-12-01,Turkey,22.5
2023-01-01,Turkey,22.9
2023-02-01,Turkey,27.1
2023-03-01,Turkey,31.4
2023-04-01,Turkey,31.8
2023-05-01,Turkey,24.2
2023-06-01,Turkey,19.1
2023-07-01,Turkey,18.0
2023-08-01,Turkey,16.9
2023-09-01,Turkey,15.5
2023-10-01,Turkey,11.7
2023-11-01,Turkey,10.3
2023-12-01,Turkey,12.9
2024-01-01,Turkey,15.4
2024-02-01,Turkey,14.0
2024-03-01,Turkey,10.2
2024-04-01,Turkey,8.9
2024-05-01,Turkey,11.4
2024-06-01,Turkey,14.0
2024-07-01,Turkey,12.6
2024-08-01,Turkey,8.8
2024-09-01,Turkey,7.4
2024-10-01,Turkey,10.0
2024-11-01,Turkey,12.9
2024-12-01,Turkey,11.9
2025-01-01,Turkey,8.5
2025-02-01,Turkey,7.5
2025-03-01,Turkey,10.5
2025-04-01,Turkey,13.4
2025-05-01,Turkey,12.4
2025-06-01,Turkey,9.0
2025-07-01,Turkey,8.0
2025-08-01,Turkey,10.9
2025-09-01,Turkey,13.9
2025-10-01,Turkey,12.9
2025-11-01,Turkey,9.4
2025-12-01,Turkey,8.4
2026-01-01,Turkey,11.4
2026-02-01,Turkey,14.3
2026-03-01,Turkey,13.3
2026-04-01,Turkey,9.9
2026-05-01,Turkey,8.9
2026-06-01,Turkey,11.8
2026-07-01,Turkey,14.8
2026-08-01,Turkey,13.8
2021-01-01,UAE + Gulf,12.0
2021-02-01,UAE + Gulf,14.6
2021-03-01,UAE + Gulf,15.4
2021-04-01,UAE + Gulf,14.1
2021-05-01,UAE + Gulf,11.7
2021-06-01,UAE + Gulf,10.3
2021-07-01,UAE + Gulf,11.2
2021-08-01,UAE + Gulf,13.8
2021-09-01,UAE + Gulf,16.3
2021-10-01,UAE + Gulf,17.2
2021-11-01,UAE + Gulf,15.8
2021-12-01,UAE + Gulf,13.4
2022-01-01,UAE + Gulf,12.1
2022-02-01,UAE + Gulf,12.9
2022-03-01,UAE + Gulf,15.5
2022-04-01,UAE + Gulf,18.1
2022-05-01,UAE + Gulf,18.9
2022-06-01,UAE + Gulf,17.6
2022-07-01,UAE + Gulf,15.2
2022-08-01,UAE + Gulf,13.8
2022-09-01,UAE + Gulf,14.7
2022-10-01,UAE + Gulf,17.2
2022-11-01,UAE + Gulf,19.8
2022-12-01,UAE + Gulf,20.7
2023-01-01,UAE + Gulf,19.3
2023-02-01,UAE + Gulf,16.8
2023-03-01,UAE + Gulf,15.2
2023-04-01,UAE + Gulf,15.9
2023-05-01,UAE + Gulf,18.3
2023-06-01,UAE + Gulf,20.8
2023-07-01,UAE + Gulf,21.4
2023-08-01,UAE + Gulf,19.9
2023-09-01,UAE + Gulf,17.4
2023-10-01,UAE + Gulf,15.8
2023-11-01,UAE + Gulf,16.5
2023-12-01,UAE + Gulf,18.9
2024-01-01,UAE + Gulf,21.3
2024-02-01,UAE + Gulf,22.0
2024-03-01,UAE + Gulf,20.5
2024-04-01,UAE + Gulf,17.9
2024-05-01,UAE + Gulf,16.4
2024-06-01,UAE + Gulf,17.1
2024-07-01,UAE + Gulf,19.5
2024-08-01,UAE + Gulf,21.9
2024-09-01,UAE + Gulf,22.6
2024-10-01,UAE + Gulf,21.1
2024-11-01,UAE + Gulf,18.5
2024-12-01,UAE + Gulf,17.0
2025-01-01,UAE + Gulf,17.7
2025-02-01,UAE + Gulf,20.1
2025-03-01,UAE + Gulf,22.6
2025-04-01,UAE + Gulf,23.2
2025-05-01,UAE + Gulf,21.7
2025-06-01,UAE + Gulf,19.2
2025-07-01,UAE + Gulf,17.7
2025-08-01,UAE + Gulf,18.4
2025-09-01,UAE + Gulf,20.8
2025-10-01,UAE + Gulf,23.3
2025-11-01,UAE + Gulf,24.0
2025-12-01,UAE + Gulf,22.5
2026-01-01,UAE + Gulf,20.0
2026-02-01,UAE + Gulf,18.4
2026-03-01,UAE + Gulf,19.1
2026-04-01,UAE + Gulf,21.6
2026-05-01,UAE + Gulf,24.0
2026-06-01,UAE + Gulf,24.7
2026-07-01,UAE + Gulf,23.2
2026-08-01,UAE + Gulf,20.7
2021-01-01,UK + US,16.0
2021-02-01,UK + US,19.1
2021-03-01,UK + US,18.7
2021-04-01,UK + US,14.9
2021-05-01,UK + US,11.1
2021-06-01,UK + US,10.7
