proper,con,dist,mag,absmag,ci
Sol,,0.0,-26.7,4.85,0.656
,Psc,219.8,9.1,2.39,0.482
,Cet,48.0,9.27,5.87,0.999
,And,442.5,6.61,-1.62,-0.019
,Phe,134.2,8.06,2.42,0.37
,Phe,257.7,8.55,1.49,0.902
,Psc,55.0,12.31,8.61,1.336
,Peg,57.9,9.64,5.83,0.74
,Peg,200.8,9.05,2.54,1.102
,And,420.2,8.59,0.47,1.067
,Phe,92.3,8.59,3.76,0.489
,And,239.2,7.34,0.45,0.081
,Scl,307.7,8.43,0.99,1.484
,Psc,205.8,7.25,0.68,1.2
,Cas,523.6,8.6,0.0,1.166
,Phe,136.4,8.15,2.48,0.425
,Phe,751.9,11.71,2.33,0.421
,Psc,44.8,11.03,7.77,1.567
,And,249.4,6.53,-0.45,0.955
,Peg,96.6,8.51,3.58,0.516
,Psc,189.4,7.55,1.16,1.438
,Phe,318.5,8.69,1.18,0.962
,Peg,86.3,7.57,2.89,0.456
,Cet,105.5,9.05,3.93,0.528
,Phe,81.4,6.28,1.73,0.763
,Cet,100.8,9.13,4.11,0.535
,Phe,107.6,9.32,4.16,0.671
,Phe,198.0,8.83,2.35,0.468
,Phe,411.5,9.14,1.07,1.041
,And,244.5,8.26,1.32,0.142
,Psc,306.7,7.63,0.2,1.453
,Cas,330.0,9.09,1.5,0.04
,Cet,113.8,8.1,2.82,0.466
,Peg,74.6,6.43,2.07,0.514
,Cet,145.3,9.07,3.26,0.916
,Peg,184.5,7.68,1.35,1.15
,Phe,381.7,10.44,2.53,0.391
,Oct,42.3,8.65,5.52,0.778
,Cet,92.5,7.46,2.63,0.475
,Cas,365.0,8.7,0.89,0.026
,Peg,163.4,8.2,2.13,0.387
,Cas,136.2,6.18,0.51,1.032
,Psc,335.6,7.91,0.28,1.104
,Scl,833.3,8.57,-1.03,1.035
,Phe,40.7,10.78,7.73,1.15
,Phe,671.1,7.31,-1.82,1.164
,Peg,375.9,9.53,1.65,0.45
,Phe,59.4,6.49,2.62,0.616
,Oct,209.6,8.56,1.95,0.196
,Peg,50.2,10.57,7.07,1.03
,Tuc,64.9,7.4,3.34,0.551
,Psc,253.8,8.12,1.1,1.329
,Tuc,29.9,8.27,5.89,0.863
,Cas,38.8,7.05,4.11,0.52
,Tuc,172.1,8.34,2.16,0.386
,Cas,178.9,8.86,2.6,1.081
,Phe,308.6,8.27,0.82,0.994
,And,188.0,6.36,-0.01,-0.047
,Scl,243.9,8.08,1.14,1.156
,Phe,54.7,11.0,7.31,1.147
,Tuc,127.2,8.55,3.03,0.401
,Peg,150.4,7.83,1.94,0.495
,Peg,31.6,8.79,6.29,0.94
,Peg,182.8,8.33,2.02,0.135
,And,168.4,10.42,4.29,0.706
,And,137.0,8.26,2.58,0.846
,Cet,87.9,8.97,4.25,0.671
,Cep,280.1,6.9,-0.34,1.446
,And,44.5,9.93,6.69,1.068
,Phe,641.0,7.42,-1.61,1.524
,And,346.0,9.03,1.33,1.67
,Scl,208.8,8.41,1.81,0.022
,Peg,709.2,8.06,-1.19,1.203
,And,271.0,8.69,1.52,0.529
,Cet,73.1,8.4,4.08,0.566
,Psc,43.8,8.57,5.36,0.642
,Cas,543.5,8.85,0.17,1.726
,Peg,47.8,9.61,6.21,0.852
,Cet,304.9,10.62,3.2,0.359
,Cep,272.5,8.05,0.87,0.018
,Psc,340.1,7.8,0.14,0.43
,Phe,181.8,5.71,-0.59,0.911
,Cas,581.4,7.87,-0.95,1.566
,Phe,113.3,7.64,2.37,0.5
,Psc,301.2,7.66,0.27,1.3
,Cet,404.9,8.68,0.64,0.944
,Psc,61.2,8.12,4.19,0.619
,Scl,90.7,10.1,5.31,0.644
,Cet,149.3,8.67,2.8,0.513
,Peg,35.1,10.46,7.73,1.36
,Phe,174.8,9.87,3.66,0.551
,Cet,180.2,9.48,3.2,0.53
,Cas,877.2,7.04,-2.68,2.835
,Peg,184.2,8.44,2.11,0.898
,Phe,120.0,9.88,4.48,0.509
,Phe,284.9,7.05,-0.22,1.55
,Tuc,109.9,8.29,3.08,0.538
,Scl,97.7,9.34,4.39,0.543
,Cep,276.2,7.73,0.52,0.455
,Cas,199.6,6.22,-0.28,0.97
,Phe,166.4,5.53,-0.58,1.615
,Psc,172.7,7.23,1.04,0.388
,And,49.6,8.61,5.13,0.787
,And,38.5,11.28,8.35,1.308
,Cet,32.1,10.76,8.23,1.384
,Peg,117.8,7.95,2.6,0.654
,Tuc,258.4,7.46,0.4,0.16
,Scl,125.3,8.6,3.11,0.435
,Tuc,934.6,8.55,-1.3,1.093
,Cet,77.6,9.2,4.75,0.606
,And,155.5,6.82,0.86,1.071
,Phe,413.2,8.29,0.21,1.183
,Peg,226.2,6.83,0.06,1.197
,Oct,66.6,4.78,0.66,1.254
,Cep,169.2,7.21,1.07,1.169
,Cas,943.4,5.58,-4.29,0.407
,Phe,222.2,8.7,1.97,0.366
,Peg,300.3,8.06,0.67,0.969
,Phe,84.8,10.86,6.22,0.942
,Cep,70.8,6.5,2.25,0.182
,Psc,167.2,9.32,3.2,0.559
,Scl,305.8,9.14,1.71,1.08
,Cas,125.2,8.13,2.64,0.2
,Scl,476.2,10.62,2.23,0.358
,Phe,208.8,6.62,0.02,0.545
,Psc,862.1,9.96,0.28,0.264
,Psc,50.1,8.64,5.14,0.62
,Peg,180.5,6.6,0.32,1.153
,And,374.5,6.25,-1.62,-0.042
,Cet,165.0,7.83,1.74,1.074
,Cep,418.4,10.03,1.92,1.289
,Tuc,112.0,9.04,3.79,0.546
