name,group,mass_g,radius_cm,note
top quark,particles,3.084e-22,1.140e-16,fundamental - plotted at Compton wavelength
Higgs boson,particles,2.228e-22,1.578e-16,fundamental - plotted at Compton wavelength
proton,particles,1.6726e-24,8.4e-14,composite - measured charge radius
electron,particles,9.109e-28,3.862e-11,fundamental - plotted at Compton wavelength
neutrino,particles,8.9e-35,3.95e-4,mass ~0.05 eV - plotted at Compton wavelength
hydrogen atom,particles,1.674e-24,5.29e-9,Bohr radius
virus,life,1.0e-15,5.0e-6,generic ~100 nm virion
bacterium,life,1.0e-12,7.0e-5,E. coli
flea,life,4.5e-4,0.1,
human,life,7.0e4,50,70 kg sphere - values from the paper
blue whale,life,1.0e8,700,values from the paper
asteroid,worlds,1.3e15,5.0e4,~1 km rocky body
Ceres,worlds,9.4e23,4.7e7,dwarf planet
Moon,worlds,7.35e25,1.737e8,
Earth,worlds,5.972e27,6.371e8,
Jupiter,worlds,1.898e30,6.991e9,
brown dwarf,stars,3.0e31,7.0e9,~15 Jupiter masses
Sun,stars,1.989e33,6.957e10,
red giant,stars,2.0e33,7.0e12,~100 solar radii
white dwarf,stars,2.0e33,5.8e8,Sirius B
neutron star,stars,2.8e33,1.2e6,1.4 solar masses - 12 km
stellar black hole,black holes,1.989e34,2.95e6,10 solar masses at Schwarzschild radius
Sgr A*,black holes,8.25e39,1.23e12,Milky Way central black hole
Ton 618,black holes,1.31e44,1.95e16,one of the largest known black holes
globular cluster,cosmic structures,1.0e39,1.5e19,
Milky Way,cosmic structures,2.0e45,5.0e22,including dark matter
galaxy cluster,cosmic structures,1.0e48,9.0e24,Coma-like
supercluster,cosmic structures,2.0e49,6.0e25,
observable Universe,cosmic structures,8.8e55,1.32e28,critical density times Hubble volume
neutron,particles,1.675e-24,2.101e-14,composite - plotted at Compton wavelength
W boson,particles,1.434e-22,2.455e-16,fundamental - plotted at Compton wavelength
gamma-ray photon,photons,1.783e-24,1.974e-14,1 GeV - effective mass E/c^2 and reduced wavelength
visible-light photon,photons,4.020e-33,8.754e-6,550 nm - effective mass E/c^2 and reduced wavelength
radio photon,photons,7.370e-40,4.775e1,3 m FM band - effective mass E/c^2 and reduced wavelength
Planck instanton,black holes,2.177e-5,1.616e-33,Planck-mass black hole - the smallest possible object
primordial black hole,black holes,5.0e14,7.425e-14,lightest that survives 13.8 Gyr of Hawking evaporation - proton-sized
3 K black hole,black holes,4.504e25,6.688e-3,Hawking temperature equals the cosmic microwave background
giant void,cosmic structures,5.7e48,1.5e26,underdense region - matter at ~15% of the cosmic mean
